№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Дропшип;Отгрузка клиенту;Нейтрально;Мин. заказ;Фид;Приём заказа;Оплата;Срок отгрузки;Возвраты;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
203;Производство и обработка;Сепараторы и центрифуги;Резерв;Далкос (dalkos.ru);продавец сепараторов Alfa Laval (топливные/масляные);Сепараторы масел и топлива;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://dalkos.ru/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Сепараторы и центрифуги;;;;;;;;;не отправлено;
204;Производство и обработка;Сепараторы и центрифуги;Резерв;ТПС / «Технологии Просеивания и Сепарации» (vibro-separator.ru, vibro-sito.ru);официальный представитель SWECO (Бельгия/Италия) в РФ;Гидроциклоны и вибросита, Декантеры;Запрос дилерских условий;телефон / e-mail;info@vibro-separator.ru;+7 (495) 988-86-38;https://vibro-separator.ru/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно (отгрузка со склада в Москве заявлена для готового оборудования);неизвестно;Дилерство SWECO, SCREENTECH, WEILIANG — ПРОМКОНТУР, направление «Сепараторы и центрифуги»;;;;;;;;;не отправлено;
205;Производство и обработка;Сепараторы и центрифуги;Резерв;НТ-Пром (nt-prom.ru);производитель/поставщик центробежного оборудования (горизонтальные фильтрующие осадительные центрифуги);Фильтрующие и осадительные центрифуги;Запрос условий сервиса / КП;e-mail / телефон;info@nt-prom.ru;+7 (495) 363-29-66;https://nt-prom.ru/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Сепараторы и центрифуги;;;;;;;;;не отправлено;
206;Логистика, упаковка, пищевые линии;Складская техника;Неделя 1;«Русский Масштаб» (rumsb.ru);федеральный дилер складской техники (официальный дилер JAC, Heli, Lonking, TRF и др.), выкуп/лизинг/сервис;Гидравлические тележки, Штабелёры, Погрузчики и ричтраки;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон / заявка на сайте;info@rumsb.ru;8 800 550 09 93;https://rumsb.ru;частично;неизвестно — на сайте не сказано, что грузополучателем может быть третье лицо (клиент агрегатора), а не покупатель по договору;неизвестно;по карточке yopt.org — 2 000 000 ₽ (вероятно относится к крупной технике, не подтверждено для штучных позиций);нет — фид/API на сайте не упоминается;неизвестно, вероятно e-mail/телефон менеджеру;неизвестно;заявлено «отгрузка возможна в день обращения» для техники в наличии;неизвестно;Сотрудничество по дропшиппингу: JAC, Heli, Lonking, TRF, CHL — ПРОМКОНТУР;;;;;;;;;не отправлено;
207;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;«НАК Машинери» / «Эксфорк-Трейд» (дистрибьюторы EP Equipment);официальный дистрибьютор бренда EP (Китай) в РФ, региональные дилерские программы;Штабелёры, Погрузчики и ричтраки, Электротележки, Запчасти и навесное;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;"info@ep-com.ru; zakaz@ep-exfork.ru";"8 800 7071 584; +7(495)532-84-81";https://ep-com.ru, https://ep-exfork.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: EP Equipment — ПРОМКОНТУР;;;;;;;;;не отправлено;
208;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;Heli Eurasia;официальное представительство завода-производителя Anhui Heli в РФ и СНГ;Погрузчики и ричтраки, Штабелёры;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://helieurasia.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Heli — ПРОМКОНТУР;;;;;;;;;не отправлено;
209;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;OXLIFT (через ГКНТ / nt-rt.ru);производитель-бренд (Китай) с собственным дилерским прайс-листом;Гидравлические тележки, Электротележки;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;sales@oxlift.ru;8 800 500 78 69;"https://oxlift.ru; https://oxlift.nt-rt.ru";неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: OXLIFT — ПРОМКОНТУР;;;;;;;;;не отправлено;
210;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;«Складская Лига» (skladliga.ru);официальный дилер Noblelift, CHL, EP в РФ (СПб);Гидравлические тележки, Штабелёры;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://skladliga.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Noblelift — ПРОМКОНТУР;;;;;;;;;не отправлено;
211;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;Форклифт (clark-ural.ru);официальный дилер Clark Europe GmbH и EnerSys в России;Тяговые аккумуляторы и зарядные устройства;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / форма на сайте;;;https://clark-ural.ru/katalog/akb-zu/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: EnerSys — ПРОМКОНТУР;;;;;;;;;не отправлено;
212;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;ЭТТО / Everest Energy (etto.com.ru);официальный дилер Everest Energy (Китай) в России;Тяговые аккумуляторы и зарядные устройства;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://etto.com.ru/everestenergy;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Everest Energy — ПРОМКОНТУР;;;;;;;;;не отправлено;
213;Логистика, упаковка, пищевые линии;Складская техника;Резерв;«Фирито» (firito.ru);поставщик промышленных колёс и роликов, крупная складская сеть по РФ/СНГ;Колёса и ролики;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / отдел по работе с клиентами;;;https://firito.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: различные (мультибрендовый поставщик) — ПРОМКОНТУР;;;;;;;;;не отправлено;
214;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 1;ПаллетПак / kondhp.ru;производитель упаковочных станков (30+ лет), приглашает дилеров в РФ и за рубежом;Паллетоупаковщики;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;kondhp@kondhp.ru;+7 800 707-25-15;"https://kondhp.ru; https://palletpack.ru/dlya-dilerov/";да;да — отгружают на адрес конечного заказчика дилера, минуя склад дилера;да — «без документов» от производителя внутри отгрузки, консультации конечным заказчикам от имени дилера;неизвестно — не опубликовано, уточнять при заявке на дилерство;заявлено «оперативное обновление прайса и тех.информации», формат не указан — уточнять (YML/Excel/API);неизвестно, вероятно e-mail/телефон менеджеру-куратору;"НДС 20% или 0% по выбору дилера; конкретные условия оплаты/отсрочки не опубликованы";заявлена «быстрая доставка оборудования и комплектующих», срок не указан;неизвестно;Сотрудничество по дропшиппингу: ПаллетПак — ПРОМКОНТУР;;;;;;;;;не отправлено;
215;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;SIAT (через официального дилера siatpack.ru);официальный дилер SIAT Maillis Group (Италия) в РФ;Стреппинг;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;info@siatpack.ru;8 (495) 778-…970;https://siatpack.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: SIAT — ПРОМКОНТУР;;;;;;;;;не отправлено;
216;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;Алджипак (algipack.ru);эксклюзивный представитель ряда европейских производителей (Smipack, Ripack, Guilbert Express, ErgoPack, Storopack) в статусе «российский офис»;Термоусадка, Плёнка, лента, расходники;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;;+7(495)968-28-01;https://algipack.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Smipack, Ripack, Storopack — ПРОМКОНТУР;;;;;;;;;не отправлено;
217;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;ЦШК «Гексагон» (официальный дистрибьютор Zebra Technologies, TSC, Gainscha);официальный дистрибьютор бренда Zebra в РФ;Этикетировщики и принтеры маркировки;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@geksagon.ru;+7 (495) 105-97-13;https://zebraprinters.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Zebra, TSC, Gainscha — ПРОМКОНТУР;;;;;;;;;не отправлено;
218;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;Снабимпэкс (pack.snabimp.ru);мультибрендовый интегратор упаковочного оборудования, 5 дилерских соглашений с фабриками Китая;Запайщики и вакуумные, Паллетоупаковщики;Агентская схема — вознаграждение за заявку;телефон / e-mail;89280385796@snabimp.ru;+7 928 038-57-96;https://pack.snabimp.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Упаковочное оборудование;;;;;;;;;не отправлено;
219;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Резерв;Robopac (robopacrus.ru);официальный дистрибьютор ROBOPAC (Италия, Сан-Марино) в РФ и СНГ;Скотчеватели и формирователи коробов;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://robopacrus.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Robopac — ПРОМКОНТУР;;;;;;;;;не отправлено;
220;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 2;Тензо-М;производитель (СПб, с 1990), крупный завод весов и тензодатчиков;Платформенные, Автомобильные и вагонные, Тензодатчики и терминалы;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон / личный кабинет;sales@tenso-m.ru;8 800 555 65 30;https://www.tenso-m.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Тензо-М — ПРОМКОНТУР;;;;;;;;;не отправлено;
221;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 2;Скейл Энтерпрайз (scale.ru);"официальный дистрибьютор весового оборудования CAS, Now Systems, Prisma (крупнейший дистрибьютор CAS в мире); производитель весов «Скейл»";Чеквейеры;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://www.scale.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: CAS, Now Systems, Prisma, Скейл — ПРОМКОНТУР;;;;;;;;;не отправлено;
222;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 2;МАНРО Механика (официальный дистрибьютор Transcell);официальный дистрибьютор весовых дозаторов и систем Transcell (Changzhou Transcell, Китай);Весовые дозаторы;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://gkmanro.ru/transcell;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Transcell — ПРОМКОНТУР;;;;;;;;;не отправлено;
223;Логистика, упаковка, пищевые линии;Весовое оборудование;Резерв;МАССА-К;завод-изготовитель (СПб, с 1991), развитая дилерская/ЦТО-сеть по РФ и СНГ;Платформенные, Паллетные и весы-рохли, Крановые;Запрос дилерских условий;e-mail / телефон;cto@massa.ru;(812) 346-57-05;https://www.massa.ru;нет;нет — заказы обрабатываются через портал STEP по договору дилера;нет;неизвестно;нет (заказ через STEP, не открытый фид);личный кабинет партнёра (STEP);неизвестно;неизвестно;неизвестно;Дилерство МАССА-К — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
224;Логистика, упаковка, пищевые линии;Весовое оборудование;Резерв;ВЗВТ — Волгоградский завод весоизмерительной техники (tdvzvt.ru);производитель промышленных весов;Крановые, Автомобильные и вагонные;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://tdvzvt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ВЗВТ — ПРОМКОНТУР;;;;;;;;;не отправлено;
225;Логистика, упаковка, пищевые линии;Пищевое оборудование;Неделя 2;Alfa L Service (alfalservice.ru);первая российская компания со статусом «Мастер Дистрибьютер» Alfa Laval, аккредитована на поставку, установку и техобслуживание;Санитарные насосы, Пастеризаторы и теплообменники, Санитарная арматура;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://alfalservice.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
226;Логистика, упаковка, пищевые линии;Пищевое оборудование;Неделя 2;Машимпэкс (официальный партнёр GEA Group в РФ);официальный партнёр GEA в РФ, продажа теплообменников и запчастей, взаимозаменяемых с Alfa Laval/Sondex;Пастеризаторы и теплообменники, Санитарная арматура;Агентская схема — вознаграждение за заявку;форма на сайте (через реселлеров E8/sn22.ru и региональные сайты);;;https://novosibirsk.sn22.ru/catalog/plastinchatie-teploobmenniki/mashimpeks-gea/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
227;Логистика, упаковка, пищевые линии;Пищевое оборудование;Неделя 2;НОТИС (notis.ru);российский производитель фасовочно-упаковочных автоматов и весовых дозаторов;Дозаторы и фасовочные автоматы (российские производители);Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / e-mail;market@notis.ru;+7 383 292 60 06;https://www.notis.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: НОТИС — ПРОМКОНТУР;;;;;;;;;не отправлено;
228;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;«Пищевые насосы» (foodpumps.ru);производитель пищевых/химических насосов (Фрязино, с 2001);Санитарные насосы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://foodpumps.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
229;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;СТИМИНОКС ГРУПП (steaminox.ru);производитель CIP-станций, 60+ реализованных станций за 10 лет;CIP-мойка, Ёмкости и реакторы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://steaminox.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
230;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;КР-Тех (kr-tec.ru);производитель CIP-станций (централизованных и локальных);CIP-мойка;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://kr-tec.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
231;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;ЭкоПакЮг (ugecopack.ru);агент производителей упаковочных материалов и оборудования в ЮФО/СКФО/ПФО;Упаковочные линии (интеграторы, агентская схема);Агентская схема — вознаграждение за заявку;e-mail / форма на сайте;office@ugecopack.ru;8 800 333 38 49;https://ugecopack.ru/partneram.html;нет;да, но платёж не через нас — не подходит под нашу схему;неизвестно;неизвестно;нет;неизвестно;оплата клиента идёт напрямую производителю, минуя посредника — несовместимо с моделью «клиент платит ПРОМКОНТУР»;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
232;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 1;ЮНИТ МАРК ПРО (umpgroup.ru) — официальный дистрибьютор Brady в РФ;официальный дистрибьютор Brady;Знаки, ограждения, LOTO;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;order@umpgroup.ru;"(495) 748-09-07; 8 (800) 505-62-75";https://umpgroup.ru;частично;неизвестно — в модели Яндекс Маркета отгрузка идёт через логистику маркетплейса, не факт, что применимо к прямой отгрузке клиенту стороннего агрегатора;неизвестно;неизвестно;неизвестно (для Яндекс Маркета используется интеграция маркетплейса, отдельный фид для партнёров-агрегаторов не описан);неизвестно, вероятно e-mail/телефон order@umpgroup.ru;компания работает только с юрлицами напрямую (via дилеров — с физлицами);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Brady — ПРОМКОНТУР;;;;;;;;;не отправлено;
233;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 1;«Аспект» (aspektsnab.ru);оптово-розничный поставщик спецодежды, спецобуви и СИЗ, официальный дилер ряда производителей, 15+ лет на рынке;Спецодежда и спецобувь, СИЗ рук, головы, глаз, слуха;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@aspektsnab.ru;8 (800) 775-35-02;https://aspektsnab.ru;частично;неизвестно — не уточнено, возможна ли отгрузка на адрес третьего лица (не покупателя по договору);неизвестно;"по карточке yopt.org — от 1000 ₽; на своём сайте компания делит розницу (до 25 000 ₽) и опт (от 25 000 ₽)";нет — фид/API на сайте не упоминается;неизвестно, вероятно e-mail/телефон персональному менеджеру;неизвестно (варианты оплаты для физ- и юрлиц описаны на сайте, но не специфично для дропшип-схемы);неизвестно;неизвестно;Сотрудничество по дропшиппингу: мультибренд (официальный дилер нескольких заводов) — ПРОМКОНТУР;;;;;;;;;не отправлено;
234;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;ФГУП «СПО «Аналитприбор» (Смоленск);производитель газоанализаторов (бренды СТМ, АНКАТ, ГИАМ, ГАММА, СГГ, СТГ), с 1960 г.;Стационарные газоанализаторы, Переносные газоанализаторы;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;market@analitpribor-smolensk.ru;8 800 100 19 50;https://analitpribor-smolensk.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;100% предоплата (товар в наличии) / 30–70% (бюджетные учреждения) / 50–50% (под заказ) — это условия оплаты производителя, не дропшип-схема;неизвестно;неизвестно;Сотрудничество по дропшиппингу: СТМ, АНКАТ, ГИАМ, ГАММА — ПРОМКОНТУР;;;;;;;;;не отправлено;
235;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;ГК «Восток-Сервис»;крупнейший производитель/поставщик спецодежды, спецобуви, СИЗ в РФ (120+ филиалов, 280 магазинов, 56 регионов + СНГ);Спецодежда и спецобувь, СИЗ рук, головы, глаз, слуха;Дропшиппинг: прямая отгрузка нашим клиентам;по региональному филиалу;;;https://vostok.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Восток-Сервис — ПРОМКОНТУР;;;;;;;;;не отправлено;
236;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;НПК СИЗОД / magazinsiz.ru (официальный дистрибьютор 3М);официальный дистрибьютор 3М в РФ;СИЗОД, СИЗ рук, головы, глаз, слуха;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@magazinsiz.ru;8 (800) 350 17 31;https://www.magazinsiz.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: 3М, Speedglas, Adflo — ПРОМКОНТУР;;;;;;;;;не отправлено;
237;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;АО «Спецавтоматика» / НПП «Спецприбор» (Казань);производитель взрывозащищённых световых/звуковых оповещателей и сигнализаторов, с 1991 г.;Световая и звуковая сигнализация;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;"info@specpribor.ru; market@specpribor.ru";(843) 207-00-66;https://www.specpribor.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: СКОПА, ЗОВ — ПРОМКОНТУР;;;;;;;;;не отправлено;
238;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;Респираторный комплекс (rkszpe.ru);российский производитель фильтрующих респираторов;Средства защиты органов дыхания;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон (только для юрлиц);zakaz@rkszpe.ru;8 812 703-37-33, 8 812 329-11-65;https://rkszpe.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Респираторный комплекс, Алина — ПРОМКОНТУР;;;;;;;;;не отправлено;
239;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Shenzhen INVT Electric Co., Ltd (INVT);производитель;частотные преобразователи;Завод в Китае: цены, OEM, дистрибуция;e-mail отдела продаж (English);overseas@invt.com;;https://www.invt.com/contact-us;н/п;;;;;;;;;Distribution in Russia — INVT / ПРОМКОНТУР;;;;;;;;;не отправлено;
240;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Jiangsu Guomao Reducer Co., Ltd (GUOMAO);производитель;мотор-редукторы;Завод в Китае: цены, OEM, дистрибуция;e-mail (English) + телефон;trade@guomaoreducer.com;400-112-5588;https://www.guomaoglobal.com/;н/п;;;;;;;;;Distribution in Russia — Guomao / ПРОМКОНТУР;;;;;;;;;не отправлено;
241;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Nanfang Pump Industry Co., Ltd (CNP);производитель;насосы;Завод в Китае: цены, OEM, дистрибуция;e-mail (русский, через представительство РФ);cnp@cnprussia.ru;+7 800 333-10-74;https://www.cnprussia.ru/;н/п;;;;;;;;;Distribution in Russia — CNP / ПРОМКОНТУР;;;;;;;;;не отправлено;
242;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Denair Energy Equipment Co., Ltd (DENAIR);производитель;компрессоры винтовые;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);info@denair.net;0086 21 5722 3896;https://www.denair.net/contact_us/;н/п;;;;;;;;;Distribution in Russia — Denair / ПРОМКОНТУР;;;;;;;;;не отправлено;
243;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Boneng Transmission (Shenyang/Tianjin) Co., Ltd;производитель;мотор-редукторы;Завод в Китае: цены, OEM, дистрибуция;форма на региональной странице (English);;024-31292571 (Shenyang, Motor/Gearbox);https://www.boneng.com/English/ez.html;н/п;;;;;;;;;Distribution in Russia — Boneng / ПРОМКОНТУР;;;;;;;;;не отправлено;
244;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Shenyang Machine Tool Co., Ltd (SMTCL) / Shenyang Machine Tool Import & Export Co., Ltd;производитель;токарные станки с ЧПУ;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);info@smtcl-en.com;+86 186-4054-7138;https://www.smtcl-en.com/;н/п;;;;;;;;;Distribution in Russia — SMTCL / ПРОМКОНТУР;;;;;;;;;не отправлено;
245;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Xiamen Golden Egret Special Alloy Co., Ltd (GESAC);производитель / офиц. дистрибьютор в РФ;твердосплавные пластины;Завод в Китае: цены, OEM, дистрибуция;форма на сайте / e-mail (через представительство РФ);;;https://gesac.ru/company/;н/п;;;;;;;;;Distribution in Russia — GESAC / ПРОМКОНТУР;;;;;;;;;не отправлено;
246;Инфраструктура сделки;Заводы Китая под заказ;Резерв;LEO Group Co., Ltd (LEO PUMP);производитель;насосы;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);export@leopump.com;+86-576-8998 6360;https://www.leopump.com/en/;н/п;;;;;;;;;Distribution in Russia — Leo / ПРОМКОНТУР;;;;;;;;;не отправлено;
247;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 1;Global Alians (ООО «Глобал-Альянс»);ВЭД-агент;ВЭД под ключ, проверка поставщика/завода, инспекция партии перед отгрузкой (AQL/PSI);ВЭД-партнёр: импорт под ключ;телефон / форма на сайте;;+7 495 109-79-13;https://global-alians.com/;н/п;;;;;;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
248;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 2;VED EXPERT (ВЭД Эксперт);ВЭД-агент;ВЭД под ключ, декларирование ТР ТС / EAC;ВЭД-партнёр: импорт под ключ;форма на сайте / телефон;;;https://vedexpert.org/;н/п;;;;;;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
249;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 2;Golden Wings (Guangzhou Golden Wings, gwchina.ru);байер/инспектор;проверка поставщика/завода, инспекция партии перед отгрузкой (AQL/PSI);ВЭД-партнёр: импорт под ключ;форма на сайте / мессенджер;;;https://gwchina.ru/;н/п;;;;;;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
250;Инфраструктура сделки;ВЭД-партнёры и байеры;Резерв;WhiteRoute (ООО «ВАЙТРОАД», ИНН 9718294459);ВЭД-агент;ВЭД под ключ;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://whiteroute.ru/;н/п;;;;;;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
251;Инфраструктура сделки;ВЭД-партнёры и байеры;Резерв;NuriProChina;байер/инспектор;проверка поставщика/завода;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://nuriprochina.com/;н/п;;;;;;;;;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
252;Инфраструктура сделки;Оплата в юанях;Неделя 1;ВТБ (филиал ВТБ Шанхай);банк;перевод оплаты китайскому заводу в юанях, валютный контроль по 181-И;Запрос условий сервиса / КП;форма на сайте / отделение;;;https://www.vtb.ru/;н/п;;;;;;;;;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
253;Инфраструктура сделки;Оплата в юанях;Неделя 2;Т-Банк (Тинькофф) — платёжные агенты Китай;банк;перевод оплаты китайскому заводу в юанях;Запрос условий сервиса / КП;форма на сайте бизнес-блока;;;https://www.tbank.ru/business/;н/п;;;;;;;;;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
254;Инфраструктура сделки;Оплата в юанях;Резерв;Платёжные агенты общего рынка (GPO, CS-VED и аналоги);платёжный агент;перевод оплаты китайскому заводу в юанях;Запрос условий сервиса / КП;форма на сайте;;;https://cs-ved.ru/;н/п;;;;;;;;;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
